Name,Party,Parliament,Politician ID,RidingID,Province,Gender,ranfor43,reelected43,QuestionPeriod,PvtMemBills,Statements,Backbencher ,DOB1,AgeOnElectionDay,YearsServedAtTimeOfElection
Andy Fillmore,Liberal Party of Canada,42,9873,12005,NS,M,Yes,Yes,17,0,22,1,1966-04-25,53,4.008219178
Sean Fraser,Liberal Party of Canada,42,9875,12002,NS,M,Yes,Yes,93,0,24,1,1984-06-01,35,4.008219178
David Graham,Liberal Party of Canada,42,9882,24038,QC,M,Yes,No,24,1,35,0,1981-07-29,38,4.008219178
Ahmed Hussen,Liberal Party of Canada,42,9892,35120,ON,M,Yes,Yes,204,1,7,0,01-Jan-76,43,4.008219178
Jenny Kwan,New Democratic Party,42,9899,59035,BC,F,Yes,Yes,115,3,36,1,01-Jan-67,52,4.008219178
Geng Tan,Liberal Party of Canada,42,9908,35020,ON,M,No,.,10,0,20,0,01-Jan-63,56,4.008219178
Marc G. Serré,Liberal Party of Canada,42,9918,35069,ON,M,Yes,Yes,14,0,32,1,28-Jan-67,52,4.008219178
Michael Cooper,Conservative Party of Canada,42,9922,48031,AB,M,Yes,Yes,112,1,23,0,08-Mar-84,35,4.008219178
Gagan Sikand,Liberal Party of Canada,42,9927,35063,ON,M,Yes,Yes,6,1,28,0,21-Nov-84,34,4.008219178
Sven Spengemann,Liberal Party of Canada,42,9935,35061,ON,M,Yes,Yes,17,1,26,1,1966-10-03,53,4.008219178
Iqra Khalid,Liberal Party of Canada,42,9937,35060,ON,F,Yes,Yes,10,0,21,0,20-Nov-85,33,4.008219178
Vance Badawey,Liberal Party of Canada,42,9942,35066,ON,M,Yes,Yes,12,0,22,1,1964-10-05,55,4.008219178
Chandra Arya,Liberal Party of Canada,42,9946,35064,ON,M,Yes,Yes,8,1,29,1,28-Jul-63,56,4.008219178
Darrell Samson,Liberal Party of Canada,42,9954,12008,NS,M,Yes,Yes,14,0,25,1,1958-10-13,61,4.008219178
Matt Jeneroux,Conservative Party of Canada,42,9958,48018,AB,M,Yes,Yes,52,0,25,0,01-Jan-81,38,4.008219178
Erin Weir,New Democratic Party,42,9984,47007,SK,M,No,.,53,0,18,1,01-Jan-82,37,4.008219178
Ziad Aboultaif,Conservative Party of Canada,42,9985,48016,AB,M,Yes,Yes,23,1,26,0,1966-09-10,53,4.008219178
Georgina Jolibois,New Democratic Party,42,9994,47003,SK,F,Yes,No,85,2,28,1,01-Jan-68,51,4.008219178
Mélanie Joly,Liberal Party of Canada,42,9999,24003,QC,F,Yes,Yes,277,0,0,0,1979-01-16,40,4.008219178
Harjit S. Sajjan,Liberal Party of Canada,42,10014,59040,BC,M,Yes,Yes,378,0,0,1,06-Sep-70,49,4.008219178
Rémi Massé,Liberal Party of Canada,42,10021,24006,QC,M,Yes,No,25,0,30,1,,,4.008219178
Stéphane Lauzon,Liberal Party of Canada,42,10029,24005,QC,M,Yes,Yes,27,0,29,1,1966-04-27,53,4.008219178
Angelo Iacono,Liberal Party of Canada,42,10031,24004,QC,M,Yes,Yes,12,0,34,1,17-Mar-65,54,4.008219178
Alupa Clarke,Conservative Party of Canada,42,10040,24008,QC,M,Yes,No,115,1,18,0,1986-04-04,33,4.008219178
Ruby Sahota,Liberal Party of Canada,42,10044,35010,ON,F,Yes,Yes,13,0,30,1,,,4.008219178
Jonathan Wilkinson,Liberal Party of Canada,42,10050,59021,BC,M,Yes,Yes,206,0,8,1,11-Jun-65,54,4.008219178
Sonia Sidhu,Liberal Party of Canada,42,10053,35011,ON,F,Yes,Yes,14,1,30,1,1968-01-03,51,4.008219178
Scot Davidson,Conservative Party of Canada,43,10649,35119,ON,M,Yes,Yes,3,0,2,1,,,0.652054795
Michael Levitt,Liberal Party of Canada,42,10060,35118,ON,M,Yes,Yes,7,0,25,1,1970-05-09,49,4.008219178
Ali Ehsassi,Liberal Party of Canada,42,10068,35115,ON,M,Yes,Yes,10,0,26,1,1970-04-24,49,4.008219178
Bardish Chagger,Liberal Party of Canada,42,10075,35112,ON,F,Yes,Yes,1166,0,0,0,1980-04-06,39,4.008219178
Francesco Sorbara,Liberal Party of Canada,42,10081,35111,ON,M,Yes,Yes,14,0,32,0,1971-02-28,48,4.008219178
Shannon Stubbs,Conservative Party of Canada,42,10099,48025,AB,F,Yes,Yes,290,0,25,0,1979-12-08,39,4.008219178
Karina Gould,Liberal Party of Canada,42,10117,35015,ON,F,Yes,Yes,138,0,10,0,1987-06-28,32,4.008219178
Arnold Viersen,Conservative Party of Canada,42,10131,48028,AB,M,Yes,Yes,24,1,39,0,1986-05-03,33,4.008219178
Terry Sheehan,Liberal Party of Canada,42,10134,35092,ON,M,Yes,Yes,8,0,19,1,01-Jan-70,49,4.008219178
Cheryl Hardcastle,New Democratic Party,42,10139,35116,ON,F,Yes,No,60,1,25,1,20-Nov-62,56,4.008219178
Jim Carr,Liberal Party of Canada,42,10146,46014,MB,M,Yes,Yes,420,0,0,0,1951-10-11,68,4.008219178
Robert-Falcon Ouellette,Liberal Party of Canada,42,10150,46011,MB,M,Yes,No,7,3,18,1,1976-11-22,42,4.008219178
Doug Eyolfson,Liberal Party of Canada,42,10153,46002,MB,M,Yes,No,17,1,27,1,01-Jan-63,56,4.008219178
Xavier Barsalou-Duval,Bloc Québécois,42,10162,24014,QC,M,Yes,Yes,113,1,30,0,1988-11-10,30,4.008219178
Bernadette Jordan,Liberal Party of Canada,42,10182,12009,NS,F,Yes,Yes,18,0,27,0,1963-04-07,56,4.008219178
Ramez Ayoub,Liberal Party of Canada,42,10194,24013,QC,M,Yes,No,15,0,27,1,01-Jan-66,53,4.008219178
Bill Morneau,Liberal Party of Canada,42,10201,35108,ON,M,Yes,Yes,928,0,0,0,1962-10-07,57,4.008219178
Julie Dabrusin,Liberal Party of Canada,42,10204,35109,ON,F,Yes,Yes,21,0,27,0,1971-04-16,48,4.008219178
Randeep Sarai,Liberal Party of Canada,42,10214,59032,BC,M,Yes,Yes,10,0,29,1,15-Apr-75,44,4.008219178
Paul Lefebvre,Liberal Party of Canada,42,10228,35103,ON,M,Yes,Yes,35,0,31,1,01-Jan-74,45,4.008219178
Don Rusnak,Liberal Party of Canada,42,10238,35105,ON,M,No,.,19,0,22,0,1975-10-05,44,4.008219178
Patty Hajdu,Liberal Party of Canada,42,10240,35106,ON,F,Yes,Yes,137,0,0,0,03-Nov-66,52,4.008219178
Gudie Hutchings,Liberal Party of Canada,42,10248,10005,NL,F,Yes,Yes,26,0,28,0,1959-09-01,60,4.008219178
Nick Whalen,Liberal Party of Canada,42,10253,10006,NL,M,Yes,No,15,0,23,1,1973-06-06,46,4.008219178
Seamus O'Regan,Liberal Party of Canada,42,10256,10007,NL,M,Yes,Yes,59,0,13,0,1971-01-18,48,4.008219178
Ken McDonald,Liberal Party of Canada,42,10263,10001,NL,M,Yes,Yes,7,0,18,1,Jun-59,60,4.008219178
Jody Wilson-Raybould,Liberal Party of Canada,42,10273,59036,BC,F,Yes,Yes,210,0,0,0,1971-03-23,48,4.008219178
Rachel Blaney,New Democratic Party,42,10277,59037,BC,F,Yes,Yes,130,2,26,1,1974-09-18,45,4.008219178
Chris Bittle,Liberal Party of Canada,42,10281,35089,ON,M,Yes,Yes,6,0,18,1,1979-02-17,40,4.008219178
Arif Virani,Liberal Party of Canada,42,10296,35081,ON,M,Yes,Yes,65,0,32,1,1971-11-23,47,4.008219178
John Nater,Conservative Party of Canada,42,10301,35083,ON,M,Yes,Yes,41,1,19,0,1984-02-14,35,4.008219178
Jennifer O'Connell,Liberal Party of Canada,42,10309,35085,ON,F,Yes,Yes,32,0,19,0,01-Jan-83,36,4.008219178
Maryam Monsef,Liberal Party of Canada,42,10312,35084,ON,F,Yes,Yes,330,0,0,0,1984-11-07,34,4.008219178
Majid Jowhari,Liberal Party of Canada,42,10314,35087,ON,M,Yes,Yes,12,1,28,1,1960-10-24,58,4.008219178
Nicola Di Iorio,Liberal Party of Canada,42,10321,24069,QC,M,No,.,8,0,12,1,13-Mar-58,61,4.008219178
Hunter Tootoo,Liberal Party of Canada,42,10335,62001,NU,M,No,.,94,0,18,0,1963-08-18,56,4.008219178
Alain Rayes,Conservative Party of Canada,42,10340,24061,QC,M,Yes,Yes,456,0,25,0,1971-12-11,47,4.008219178
Monique Pauzé,Bloc Québécois,42,10345,24060,QC,F,Yes,Yes,126,2,50,0,01-Jan-50,69,4.008219178
Rhéal Fortin,Bloc Québécois,42,10348,24063,QC,M,Yes,Yes,124,4,26,0,,,4.008219178
Linda Lapointe,Liberal Party of Canada,42,10351,24062,QC,F,Yes,No,16,1,36,1,1960-07-02,59,4.008219178
Yves Robillard,Liberal Party of Canada,42,10359,24065,QC,M,Yes,Yes,15,0,35,1,01-Jan-42,77,4.008219178
Jean Rioux,Liberal Party of Canada,42,10368,24067,QC,M,Yes,No,85,0,29,0,09-Jun-53,66,4.008219178
Catherine Mary McKenna,Liberal Party of Canada,42,10380,35075,ON,F,Yes,Yes,557,0,0,0,05-Aug-71,48,4.008219178
Andrew Leslie,Liberal Party of Canada,42,10382,35076,ON,M,No,.,126,0,26,1,1957-12-26,61,4.008219178
John Oliver,Liberal Party of Canada,42,10396,35072,ON,M,No,.,10,0,24,0,01-Jan-56,63,4.008219178
Pam Damoff,Liberal Party of Canada,42,10399,35073,ON,F,Yes,Yes,28,0,43,1,,,4.008219178
Michael McLeod,Liberal Party of Canada,42,10410,61001,NT,M,Yes,Yes,13,0,24,1,06-Sep-59,60,4.008219178
Pam Goldsmith-Jones,Liberal Party of Canada,42,10414,59042,BC,F,No,.,128,0,30,1,01-Jan-61,58,4.008219178
Richard Cannings,New Democratic Party,42,10418,59029,BC,M,Yes,Yes,42,3,17,1,1954-03-31,65,4.008219178
Garnett Genuis,Conservative Party of Canada,42,10426,48032,AB,M,Yes,Yes,71,1,36,0,23-Jan-87,32,4.008219178
Mel Arnold,Conservative Party of Canada,42,10435,59020,BC,M,Yes,Yes,29,3,20,0,01-Jan-58,61,4.008219178
Bill Blair,Liberal Party of Canada,42,10439,35098,ON,M,Yes,Yes,90,0,8,0,09-Apr-54,65,4.008219178
Ken Hardie,Liberal Party of Canada,42,10447,59012,BC,M,Yes,Yes,10,0,17,1,01-Jan-47,72,4.008219178
Kamal Khera,Liberal Party of Canada,42,10450,35012,ON,F,Yes,Yes,92,0,32,1,1989-02-04,30,4.008219178
Marilyn Gladu,Conservative Party of Canada,42,10459,35091,ON,F,Yes,Yes,133,1,39,0,01-Jan-61,58,4.008219178
Shaun Chen,Liberal Party of Canada,42,10463,35096,ON,M,Yes,Yes,7,0,19,1,1980-09-18,39,4.008219178
Gary Anandasangaree,Liberal Party of Canada,42,10468,35097,ON,M,Yes,Yes,20,0,31,0,,,4.008219178
Salma Zahid,Liberal Party of Canada,42,10475,35094,ON,F,Yes,Yes,18,0,30,1,1970-05-26,49,4.008219178
Alistair MacGregor,New Democratic Party,42,10483,59010,BC,M,Yes,Yes,69,4,19,1,04-May-79,40,4.008219178
Carla Qualtrough,Liberal Party of Canada,42,10497,59011,BC,F,Yes,Yes,108,0,0,0,1971-10-15,48,4.008219178
Pierre Breton,Liberal Party of Canada,42,10499,24072,QC,M,Yes,No,14,0,27,1,1966-10-03,53,4.008219178
François Choquette,New Democratic Party,42,10510,24025,QC,M,Yes,No,268,4,5,0,1974-01-03,45,8.476712329
Marc Miller,Liberal Party of Canada,42,10523,24077,QC,M,Yes,Yes,55,0,23,1,12-Mar-73,46,4.008219178
Peter Schiefke,Liberal Party of Canada,42,10531,24074,QC,M,Yes,Yes,16,0,39,1,1979-04-13,40,4.008219178
Michel Boudrias,Bloc Québécois,42,10533,24075,QC,M,Yes,Yes,43,1,8,0,01-Jan-77,42,4.008219178
Leona Alleslev,Liberal Party of Canada,42,10542,35003,ON,F,Yes,Yes,111,0,24,1,1968-03-16,51,4.008219178
Alex Nuttall,Conservative Party of Canada,42,10551,35005,ON,M,No,.,50,0,20,0,1985-08-10,34,4.008219178
John Brassard,Conservative Party of Canada,42,10554,35004,ON,M,Yes,Yes,245,1,37,0,1964-05-11,55,4.008219178
Nathaniel Erskine-Smith,Liberal Party of Canada,42,10557,35007,ON,M,Yes,Yes,3,4,17,1,1984-06-15,35,4.008219178
Neil Ellis,Liberal Party of Canada,42,10562,35006,ON,M,Yes,Yes,10,0,15,1,01-Jan-61,58,4.008219178
Raj Grewal,Liberal Party of Canada,42,10567,35009,ON,M,No,.,16,0,22,1,1985-09-11,34,4.008219178
Ramesh Sangha,Liberal Party of Canada,42,10572,35008,ON,M,Yes,Yes,6,1,17,1,1945-06-06,74,4.008219178
Wayne Stetski,New Democratic Party,42,10581,59015,BC,M,Yes,No,51,2,20,1,1952-05-23,67,4.008219178
Rosemarie Falk,Conservative Party of Canada,43,10624,47001,SK,F,Yes,Yes,24,0,11,1,1988-01-01,31,1.860273973
Stephanie Kusie,Conservative Party of Canada,43,10593,48008,AB,F,Yes,Yes,59,0,16,0,01-Jan-73,46,2.550684932
Bob Benzen,Conservative Party of Canada,43,10588,48007,AB,M,Yes,Yes,5,0,12,1,1959-03-03,60,2.550684932
Glen Motz,Conservative Party of Canada,43,10582,48027,AB,M,Yes,Yes,43,0,17,0,01-Jan-58,61,2.991780822
Dane Llyod,Conservative Party of Canada,43,10607,48033,AB,M,Yes,Yes,23,1,13,1,1991-02-16,28,1.994520548
Jagmeet Singh,New Democratic Party,43,8714,59003,BC,M,Yes,Yes,105,0,0,0,1979-01-02,40,0.652054795
Paul Manly,Green Party of Canada,43,10056,59018,BC,M,Yes,No,4,0,1,1,19-Apr-64,55,0.460273973
Michael Barrett,Conservative Party of Canada,43,10631,35050,ON,M,Yes,Yes,12,0,8,1,01-Jan-84,35,0.882191781
Gordie Hogg,Liberal Party of Canada,43,10613,59030,BC,M,Yes,No,5,0,9,1,1946-08-24,73,1.860273973
